Time,U,V,W,U Avg,V Avg,W Avg,U'=U - U avg,V'=V - V avg,W'=W - W avg,Octant,   ,Octant ID,1,-1,2,-2,3,-3,4,-4
0,5.493466464951901,5.921669524289796,2.972422255841318,27.306533535048096,0.04833047571020346,0.10757774415868243,-21.813067070096196,5.873339048579592,2.8648445116826355,1, ,0-5000,414,688,815,488,844,611,419,720
0.01,3.263466464951904,5.511669524289796,0.6924222558413176,,,,-24.043067070096193,5.463339048579592,0.5848445116826351,1, ,5000-10000,380,757,820,516,777,530,443,776
0.02,1.793466464951905,3.311669524289796,-1.3975777441586825,,,,-25.51306707009619,3.2633390485795926,-1.505155488317365,-1, ,10000-15000,621,1016,599,372,540,328,536,987
0.03,0.32346646495190257,1.1116695242897965,-1.9575777441586826,,,,-26.983067070096194,1.063339048579593,-2.065155488317365,-1, ,15000-20000,366,681,948,512,877,483,478,654
0.04,-1.066533535048098,-2.3683304757102035,-0.8575777441586825,,,,-28.373067070096194,-2.416660951420407,-0.965155488317365,-3, ,20000-25000,454,743,880,512,811,467,414,718
0.05,-1.1765335350480974,-0.41833047571020343,-0.5575777441586824,,,,-28.483067070096194,-0.46666095142040687,-0.6651554883173649,-3, ,25000-30000,376,719,793,398,698,367,478,922
0.06,-1.2765335350480953,1.5116695242897966,-0.2575777441586824,,,,-28.58306707009619,1.4633390485795932,-0.36515548831736483,-2, ,,,,,,,,,
0.07,1.5934664649519021,0.2616695242897965,-0.04757774415868243,,,,-25.713067070096194,0.21333904857959304,-0.15515548831736486,-1, ,,,,,,,,,
0.08,1.8634664649519053,1.9216695242897965,0.06242225584131758,,,,-25.44306707009619,1.873339048579593,-0.04515548831736485,1, ,,,,,,,,,
0.09,3.1134664649519053,3.8516695242897963,-1.4875777441586824,,,,-24.19306707009619,3.8033390485795926,-1.5951554883173649,-1, ,,,,,,,,,
0.1,4.363466464951905,2.8816695242897965,-0.7075777441586824,,,,-22.94306707009619,2.833339048579593,-0.8151554883173648,-1, ,,,,,,,,,
0.11,2.423466464951904,2.1116695242897965,-0.9275777441586823,,,,-24.883067070096192,2.063339048579593,-1.0351554883173648,-1, ,,,,,,,,,
0.12,3.4434664649519036,4.221669524289796,-1.7875777441586824,,,,-23.863067070096193,4.173339048579592,-1.895155488317365,-1, ,,,,,,,,,
0.13,4.483466464951903,3.1616695242897963,-1.3575777441586825,,,,-22.823067070096194,3.1133390485795926,-1.465155488317365,-1, ,,,,,,,,,
0.14,-2.156533535048098,3.3516695242897963,-1.6975777441586826,,,,-29.463067070096194,3.3033390485795926,-1.805155488317365,-2, ,,,,,,,,,
0.15,-3.1765335350480974,0.6316695242897966,0.04242225584131756,,,,-30.483067070096194,0.5833390485795932,-0.06515548831736487,2, ,,,,,,,,,
0.16,-4.196533535048097,1.9916695242897966,-0.8275777441586825,,,,-31.503067070096193,1.9433390485795932,-0.935155488317365,-2, ,,,,,,,,,
0.17,-1.7565335350480957,3.2616695242897964,1.3424222558413175,,,,-29.063067070096192,3.2133390485795927,1.234844511682635,2, ,,,,,,,,,
0.18,-1.696533535048097,2.1316695242897965,1.9324222558413175,,,,-29.003067070096193,2.083339048579593,1.824844511682635,2, ,,,,,,,,,
0.19,-2.286533535048097,2.0516695242897964,1.9824222558413174,,,,-29.593067070096193,2.0033390485795928,1.8748445116826349,2, ,,,,,,,,,
0.2,-0.36653353504809516,0.16166952428979653,2.112422255841318,,,,-27.67306707009619,0.11333904857959307,2.0048445116826357,2, ,,,,,,,,,
